Year,slab,subset,index,Comp Depth,thick,HSI_depth
1959,ZAB12_1_24_34,1,1584,392.88,7.2,357.146193
1960,ZAB12_1_24_34,1,1464,385.68,5.16,349.4624694
1961,ZAB12_1_24_34,1,1378,380.52,3.9,345.9068208
1962,ZAB12_1_24_34,1,1313,376.62,8.1,340.028442
1963,ZAB12_1_24_34,1,1178,368.52,5.52,334.359219
1964,ZAB12_1_24_34,1,1086,363,12,330.8035704
1965,ZAB12_1_24_34,1,886,351,5.94,325.2884622
1966,ZAB12_1_24_34,1,787,345.06,6.3,320.0705754
1967,ZAB12_1_24_34,1,682,338.76,5.4,314.8526886
1968,ZAB12_1_24_34,2,581,333.36,4.92,311.186958
1969,ZAB12_1_24_34,2,499,328.44,5.16,305.627817
1970,ZAB12_1_24_34,2,413,323.28,4.26,300.8502582
1971,ZAB12_1_24_34,3,342,319.02,7.08,295.1259942
1972,ZAB12_1_24_34,3,233,311.94,9.12,287.299164
1973,ZAB12_1_16_26,3,1488,302.82,13.02,280.4080308
1974,ZAB12_1_16_26,3,1271,289.8,8.34,273.2967336
1975,ZAB12_1_16_26,3,1132,281.46,8.82,263.631534
1976,ZAB12_1_16_26,2,960,272.64,9.66,257.632065
1977,ZAB12_1_16_26,3,839,262.98,10.92,249.6401118
1978,ZAB12_1_16_26,3,657,252.06,12.18,240.9216174
1979,ZAB12_1_16_26,3,454,239.88,5.94,234.7019844
1980,ZAB12_1_16_26,3,355,233.94,5.7,229.1428434
1981,ZAB12_1_8_18,2,1480,228.24,7.92,222.8131284
1982,ZAB12_1_8_18,2,1348,220.32,10.74,215.250495
1983,ZAB12_1_8_18,2,1169,209.58,7.8,206.5870416
1984,ZAB12_1_8_18,3,1032,201.78,6.6,198.8152524
1985,ZAB12_1_8_18,3,922,195.18,5.88,192.8157834
1986,ZAB12_1_8_18,3,824,189.3,5.64,187.4768064
1987,ZAB12_1_8_18,1,683,183.66,4.74,184.482576
1988,ZAB12_1_8_18,1,604,178.92,7.62,178.7803284
1989,ZAB12_1_8_18,1,477,171.3,7.62,169.456383
1990,ZAB12_1_8_18,1,350,163.68,5.7,165.5594802
1991,ZAB20-1-7.5-17.5,3,1479,157.98,8.76,157.3693794
1992,ZAB20-1-7.5-17.5,3,1333,149.22,6.24,148.0344258
1993,ZAB20-1-7.5-17.5,3,1229,142.98,6.24,142.3652028
1994,ZAB20-1-7.5-17.5,3,1125,136.74,4.98,135.5841516
1995,ZAB20-1-7.5-17.5,3,1042,131.76,5.88,128.8141086
1996,ZAB20-1-7.5-17.5,3,944,125.88,4.62,123.2
1997,ZAB20-1-7.5-17.5,3,867,121.26,4.92,119.6
1998,ZAB20-1-7.5-17.5,3,785,116.34,5.58,115.3180554
1999,ZAB20-1-7.5-17.5,3,692,110.76,5.28,109.2085044
2000,ZAB20-1-7.5-17.5,3,604,105.48,6.72,103.8695274
2001,ZAB20-1-7.5-17.5,3,492,98.76,5.34,98.4314766
2002,ZAB20-1-7.5-17.5,3,403,93.42,7.44,92.8723356
2003,ZAB20-1-0.5-9.5,3,1635,85.98,3.24,86.5426206
2004,ZAB20-1-0.5-9.5,3,1581,82.74,5.52,81.6549798
2005,ZAB20-1-0.5-9.5,3,1489,77.22,3.12,76.767339
2006,ZAB20-1-0.5-9.5,3,1437,74.1,5.4,73.5419364
2007,ZAB20-1-0.5-9.5,3,1347,68.7,5.82,68.2249758
2008,ZAB20-1-0.5-9.5,3,1250,62.88,6.84,60.3871374
2009,ZAB20-1-0.5-9.5,3,1136,56.04,4.62,56.2260378
2010,ZAB20-1-0.5-9.5,3,1059,51.42,3.96,51.723684
2011,ZAB20-1-0.5-9.5,3,993,47.46,5.1,47.5625844
2012,ZAB20-1-0.5-9.5,3,908,42.36,4.98,43.5555996
2013,ZAB20-1-0.5-9.5,3,825,37.38,5.52,36.6094254
2014,ZAB20-1-0.5-9.5,3,733,31.86,6,30.7750794
2015,ZAB20-1-0.5-9.5,3,633,25.86,5.82,24.1041102
2016,ZAB20-1-0.5-9.5,3,536,20.04,5.28,19.2715104
2017,ZAB20-1-0.5-9.5,3,448,14.76,5.4,13.2720414
2018,ZAB20-1-0.5-9.5,3,358,9.36,4.08,8.3293596
2019,ZAB20-1-0.5-9.5,3,290,5.28,4.68,3.8820468
2020,ZAB20-1-0.5-9.5,3,212,0.6,0.6,0
