year,thickness.mm,calib.thickness.mm,thickness.cum,sample,weight_cns,weight_tic,tc_p,tn_p,ts_p,tic_p,toc_p,cns_date,cns_standard,cns_bg_c,cns_bg_n,cns_bg_s,cns_c,cns_n,cns_s,cns_sd_c,cns_sd_n,cns_sd_s,cns_rep,tic_date,tic_standard,tic_c_bg,tic_c,tic_c_sd,tic_rep,dry_bulk_density_gcm3,wet_bulk_density_gcm3,Cs,Cs_error,ZAB_12_1_Cs,ZAB_12_1_Cs_error
2020,0.69,0.73,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,5.04,5.28,6.01,ZAB-20/01 002,21.55,34.34,16.16,1.39,1.1,6.514,9.65,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.16,1.01,,,,
2018,4.19,4.39,10.4,ZAB-20/01 003,24.64,34.33,15.96,1.3,1.627,6.242,9.72,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.13,0.97,,,,
2017,5.11,5.35,15.75,ZAB-20/01 004,26.21,39.44,15.39,1.21,1.576,5.748,9.64,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.11,0.82,10.8,2.9,,
2016,5.4,5.66,21.41,ZAB-20/01 005,29.94,31.79,15.68,1.21,1.4,6.125,9.56,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.14,0.98,,,,
2015,5.31,5.56,26.97,ZAB-20/01 006,22.51,32.16,14.73,1,1.091,5.25,9.48,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.14,1.04,,,,
2014,4.98,5.21,32.18,ZAB-20/01 007,21.91,36.98,15.35,1.22,2.235,5.003,10.35,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.13,1.02,,,,
2013,5.94,6.22,38.4,ZAB-20/01 008,22.57,32.71,14.37,1.08,1.499,4.755,9.62,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.15,1.03,,,,
2012,4.82,5.05,43.44,ZAB-20/01 009,29.69,33.16,14.73,1.09,1.435,5.084,9.65,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.14,1.04,,,,
2011,5.38,5.63,49.08,ZAB-20/01 010,21.98,32.13,15.13,1.06,1.569,6.289,8.84,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.14,1,9.5,3.5,,
2010,3.07,3.22,52.29,ZAB-20/01 011,24.8,29.01,14.82,1.11,1.701,5.899,8.92,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.12,1.01,,,11.4,2.3
2009,4.73,4.95,57.24,ZAB-20/01 012,24.33,32.6,15.53,1.28,2.355,5.093,10.44,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.1,1.03,,,,
2008,7.26,7.6,64.85,ZAB-20/01 013,29.16,35.89,14.73,0.97,1.772,6.248,8.48,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.13,1.01,,,,
2007,6.03,6.31,71.16,ZAB-20/01 014,20.95,35.74,14.24,0.92,1.892,6.278,7.96,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.13,1,,,13,1.6
2006,5.24,5.49,76.65,ZAB-20/01 015,25.49,34.9,13.98,0.95,1.658,5.596,8.38,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.14,1.04,,,,
2005,3.18,3.33,79.99,ZAB-20/01 016,22.48,29.19,14.36,1,1.607,5.556,8.8,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.12,1.02,,,,
2004,5.02,5.26,85.24,ZAB-20/01 017,22.99,34.94,14.27,1.09,1.836,5.021,9.25,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.13,1.04,,,12.1,1.8
2003,3.59,3.76,89,ZAB-20/01 018,24.46,31.38,15.03,1.19,2.009,5.156,9.87,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.11,0.98,,,,
2002,5.54,5.74,94.74,ZAB-20/01 019,23.86,36.11,14.44,1.03,2.097,5.655,8.79,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.13,1.01,,,,
2001,6.21,6.43,101.17,ZAB-20/01 020,23.18,32.05,14.07,0.98,2.281,6.469,7.6,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.12,1.01,,,22.4,2
2000,6.27,6.5,107.67,ZAB-20/01 021,24.36,32.01,14.85,1,2.185,5.979,8.87,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.13,1.06,,,,
1999,5.37,5.57,113.24,ZAB-20/01 022,27.2,26.65,14.47,0.9,1.92,6.441,8.03,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.15,1.02,,,,
1998,5.64,5.84,119.08,ZAB-20/01 023,24.35,28.05,13.96,1.05,2.154,4.882,9.08,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,27.10.2020,s.chalky,1961,1.43,0.03,2,0.13,1,,,23.2,1.9
1997,4.47,4.63,123.72,ZAB-20/01 024,23.36,31.31,12.86,0.79,1.751,5.829,7.03,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,28.10.2020,s.chalky,1469,1.72,0.12,2,0.16,1.05,,,,
1996,4.54,4.7,128.42,ZAB-20/01 025,23.45,30.74,12.42,0.9,1.676,5.675,6.75,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,28.10.2020,s.chalky,1469,1.72,0.12,2,0.14,1.04,,,,
1995,5.64,5.84,134.26,ZAB-20/01 026,26.23,26.19,13.5,1.12,2.459,4.751,8.75,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,28.10.2020,s.chalky,1469,1.72,0.12,2,0.11,1.02,,,19.2,1.8
1994,5.64,5.84,140.11,ZAB-20/01 027,26.34,36.34,12.3,0.88,1.917,5.16,7.14,14.10.2020,s.peaty,152,78,28,15.16,1.24,0.35,0.15,0.01,0.03,3,28.10.2020,s.chalky,1469,1.72,0.12,2,0.13,1,,,,
