Oid,Sediment.Y [mm],HSI_depth,Rmean,RABD845,RABD655-685max
9,0.54,0.54,0.072732752,0.994195596,1.502284043
10,0.6,0.6,0.076733726,0.994118759,1.400451338
11,0.66,0.66,0.077662883,0.996456087,1.370249864
12,0.72,0.72,0.078122443,0.994149753,1.33842342
13,0.78,0.78,0.079127508,0.993317048,1.307053044
14,0.84,0.84,0.080440203,0.995929008,1.279451787
15,0.9,0.9,0.081678625,0.9928485,1.273640699
16,0.96,0.96,0.083654799,0.990823919,1.252883185
17,1.02,1.02,0.084552513,0.995341906,1.23955078
18,1.08,1.08,0.084025694,0.995424832,1.243655906
19,1.14,1.14,0.083429524,0.991374889,1.235591555
20,1.2,1.2,0.081347632,0.999112918,1.241451551
21,1.26,1.26,0.080177493,0.998258266,1.238226666
22,1.32,1.32,0.080291083,0.996879153,1.223588579
23,1.38,1.38,0.081997293,1.000914516,1.225992006
24,1.44,1.44,0.085102942,0.99904134,1.229056169
25,1.5,1.5,0.089201725,0.99600441,1.249299207
26,1.56,1.56,0.09416367,0.995864724,1.265041625
27,1.62,1.62,0.100596402,0.993981826,1.286870245
28,1.68,1.68,0.108998108,0.993162567,1.281665255
29,1.74,1.74,0.119087068,0.991504995,1.282025393
30,1.8,1.8,0.128898364,0.992997203,1.285349201
31,1.86,1.86,0.135721014,0.995058319,1.291437577
32,1.92,1.92,0.14332066,0.992044819,1.289400781
33,1.98,1.98,0.153790062,0.991671687,1.288188342
34,2.04,2.04,0.164454964,0.991170601,1.271459643
35,2.1,2.1,0.175031612,0.992958845,1.251227004
36,2.16,2.16,0.184463109,0.994438673,1.242172171
37,2.22,2.22,0.190808096,0.991851228,1.253740062
38,2.28,2.28,0.19840204,0.989701718,1.257093142
39,2.34,2.34,0.208150838,0.989429747,1.261094241
40,2.4,2.4,0.223045615,0.991063891,1.257933035
41,2.46,2.46,0.237546717,0.990200786,1.250253344
42,2.52,2.52,0.250125978,0.990915216,1.240937026
43,2.58,2.58,0.260526693,0.989763391,1.23440016
44,2.64,2.64,0.268916915,0.990706935,1.226630141
45,2.7,2.7,0.272789666,0.990577868,1.231015072
46,2.76,2.76,0.273292298,0.990561838,1.230001677
47,2.82,2.82,0.271259834,0.990102417,1.234386833
48,2.88,2.88,0.265209246,0.989717948,1.244601565
49,2.94,2.94,0.25765642,0.990245723,1.258886407
50,3,3,0.247233341,0.991690897,1.273968455
51,3.06,3.06,0.235141279,0.990439315,1.293561529
52,3.12,3.12,0.22261638,0.99110326,1.31523518
53,3.18,3.18,0.212933549,0.990863379,1.340553473
54,3.24,3.24,0.206452078,0.98981967,1.345906545
55,3.3,3.3,0.20268454,0.991215876,1.349887788
56,3.36,3.36,0.201587187,0.988487566,1.35587417
57,3.42,3.42,0.203338993,0.988051867,1.353529814
